sales_rep_id,customer_code,customer_name,status,province,city,barangay,coverage_day,wkly_coverage,phone,first_name,last_name,address,tin_no,latitude,longitude
DSP0019,CUST0053,SAMPLE STORE 053,Active/Approved,NUEVA ECIJA,SAN JOSE CITY,PORAIS,FRI,W1,09170000053,ISAAC,ILAGAN,053 PORAIS SAN JOSE CITY,TIN-000000053,15.795100,120.996900
DSP0019,CUST0054,SAMPLE STORE 054,Blocked/On hold,NUEVA ECIJA,SAN JOSE CITY,SIBUT,SAT,W4,09170000054,JANELLE,JACINTO,054 SIBUT SAN JOSE CITY,TIN-000000054,15.796000,120.997700
DSP0021,CUST0055,SAMPLE STORE 055,Active/Approved,NUEVA ECIJA,SAN JOSE CITY,TABULAC,MON,W1,09170000055,KEVIN,KATIGBAK,055 TABULAC SAN JOSE CITY,TIN-000000055,15.796900,120.998500
DSP0021,CUST0056,SAMPLE STORE 056,Active/Approved,NUEVA ECIJA,SAN JOSE CITY,TAYABO,TUE,W2,09170000056,LOUISA,LACSON,056 TAYABO SAN JOSE CITY,TIN-000000056,15.797800,120.999300
DSP0023,CUST0057,SAMPLE STORE 057,Active/Approved,NUEVA ECIJA,QUEZON,SAN JOSEF NORTE,WED,W1,09170000057,MARTIN,MANALO,057 SAN JOSEF NORTE QUEZON,TIN-000000057,15.556400,120.817500
DSP0023,CUST0058,SAMPLE STORE 058,Blocked/On hold,NUEVA ECIJA,QUEZON,SAN JOSEF SUR,THU,W4,09170000058,NADIA,NAZARENO,058 SAN JOSEF SUR QUEZON,TIN-000000058,15.557200,120.818100
DSP0026,CUST0059,SAMPLE STORE 059,Active/Approved,NUEVA ECIJA,PALAYAN CITY (CAPITAL),ATATE,FRI,W1,09170000059,OSCAR,ONG,059 ATATE PALAYAN CITY,TIN-000000059,15.541500,121.086800
DSP0026,CUST0060,SAMPLE STORE 060,Active/Approved,NUEVA ECIJA,PALAYAN CITY (CAPITAL),DOÑA JOSEFA,SAT,W2,09170000060,PIA,PEREZ,060 DONA JOSEFA PALAYAN CITY,TIN-000000060,15.542300,121.087600
DSP0003,CUST0061,SAMPLE STORE 061,Active/Approved,AURORA,BALER (CAPITAL),PINGIT,MON,W1,09170000061,QUITO,QUEMADO,061 PINGIT BALER AURORA,TIN-000000061,15.764200,121.566100
DSP0003,CUST0062,SAMPLE STORE 062,Blocked/On hold,AURORA,BALER (CAPITAL),SUKLAYIN,TUE,W4,09170000062,RHEA,RIVERA,062 SUKLAYIN BALER AURORA,TIN-000000062,15.765100,121.566900
DSP0005,CUST0063,SAMPLE STORE 063,Active/Approved,AURORA,MARIA AURORA,DIBUTUNAN,WED,W1,09170000063,SAM,SONGCO,063 DIBUTUNAN MARIA AURORA,TIN-000000063,15.801100,121.478400
DSP0005,CUST0064,SAMPLE STORE 064,Active/Approved,AURORA,MARIA AURORA,ESTONILO,THU,W2,09170000064,TESS,TOLENTINO,064 ESTONILO MARIA AURORA,TIN-000000064,15.802000,121.479200
DSP0007,CUST0065,SAMPLE STORE 065,Active/Approved,NUEVA ECIJA,CABANATUAN CITY,KALIKID NORTE,FRI,W1,09170000065,URIEL,URBANO,065 KALIKID NORTE CABANATUAN,TIN-000000065,15.495500,120.979600
DSP0007,CUST0066,SAMPLE STORE 066,Blocked/On hold,NUEVA ECIJA,CABANATUAN CITY,KALIKID SUR,SAT,W4,09170000066,VIC,VILLAR,066 KALIKID SUR CABANATUAN,TIN-000000066,15.496300,120.980400
DSP0011,CUST0067,SAMPLE STORE 067,Active/Approved,NUEVA ECIJA,CABANATUAN CITY,MABINI EXTENSION,MON,W1,09170000067,WES,WENCESLAO,067 MABINI EXT CABANATUAN,TIN-000000067,15.497100,120.981200
DSP0011,CUST0068,SAMPLE STORE 068,Active/Approved,NUEVA ECIJA,CABANATUAN CITY,MABINI HOMESITE,TUE,W2,09170000068,XIOMARA,XERXES,068 MABINI HOMESITE CABANATUAN,TIN-000000068,15.497900,120.982000
DSP0012,CUST0069,SAMPLE STORE 069,Active/Approved,NUEVA ECIJA,CITY OF GAPAN,MABURAK,WED,W1,09170000069,YURI,YLAGAN,069 MABURAK GAPAN,TIN-000000069,15.314100,120.954900
DSP0012,CUST0070,SAMPLE STORE 070,Blocked/On hold,NUEVA ECIJA,CITY OF GAPAN,MABUNGA,THU,W4,09170000070,ZIA,ZARATE,070 MABUNGA GAPAN,TIN-000000070,15.314900,120.955800
DSP0014,CUST0071,SAMPLE STORE 071,Active/Approved,NUEVA ECIJA,CITY OF GAPAN,PARCUTELA,FRI,W1,09170000071,ADRIAN,AMOR,071 PARCUTELA GAPAN,TIN-000000071,15.315700,120.956600
DSP0014,CUST0072,SAMPLE STORE 072,Active/Approved,NUEVA ECIJA,CITY OF GAPAN,PAMBUAN,SAT,W2,09170000072,BRIANA,BANTUG,072 PAMBUAN GAPAN,TIN-000000072,15.316500,120.957500
DSP0019,CUST0073,SAMPLE STORE 073,Active/Approved,NUEVA ECIJA,SAN JOSE CITY,TONDOD,MON,W1,09170000073,CHRIS,CORTEZ,073 TONDOD SAN JOSE CITY,TIN-000000073,15.798600,121.000100
DSP0019,CUST0074,SAMPLE STORE 074,Blocked/On hold,NUEVA ECIJA,SAN JOSE CITY,TULAT,TUE,W4,09170000074,DORIS,DE LEON,074 TULAT SAN JOSE CITY,TIN-000000074,15.799400,121.000900
DSP0021,CUST0075,SAMPLE STORE 075,Active/Approved,NUEVA ECIJA,SAN JOSE CITY,VILLA FLORESCA,WED,W1,09170000075,ERNEST,ESTRELLA,075 VILLA FLORESCA SAN JOSE CITY,TIN-000000075,15.800200,121.001700
DSP0021,CUST0076,SAMPLE STORE 076,Active/Approved,NUEVA ECIJA,SAN JOSE CITY,VILLA MARINA,THU,W2,09170000076,FAY,FERRER,076 VILLA MARINA SAN JOSE CITY,TIN-000000076,15.801000,121.002500
DSP0023,CUST0077,SAMPLE STORE 077,Active/Approved,NUEVA ECIJA,QUEZON,SAN JUAN POB. (ACOFA),FRI,W1,09170000077,GINO,GONZALES,077 SAN JUAN POB QUEZON,TIN-000000077,15.558300,120.819000
DSP0023,CUST0078,SAMPLE STORE 078,Blocked/On hold,NUEVA ECIJA,QUEZON,SAN ROQUE NORTE,SAT,W4,09170000078,HOLLY,HABANA,078 SAN ROQUE NORTE QUEZON,TIN-000000078,15.559100,120.819900
DSP0026,CUST0079,SAMPLE STORE 079,Active/Approved,NUEVA ECIJA,PALAYAN CITY (CAPITAL),CAIMITO,MON,W1,09170000079,IANA,INOCENCIO,079 CAIMITO PALAYAN CITY,TIN-000000079,15.543100,121.088400
DSP0026,CUST0080,SAMPLE STORE 080,Active/Approved,NUEVA ECIJA,PALAYAN CITY (CAPITAL),LANGKA,TUE,W2,09170000080,JARED,JURADO,080 LANGKA PALAYAN CITY,TIN-000000080,15.543900,121.089200
DSP0003,CUST0081,SAMPLE STORE 081,Active/Approved,AURORA,BALER (CAPITAL),ZABALI,WED,W1,09170000081,KELLY,KHO,081 ZABALI BALER AURORA,TIN-000000081,15.766000,121.567700
DSP0003,CUST0082,SAMPLE STORE 082,Blocked/On hold,AURORA,BALER (CAPITAL),BARANGAY I (POB.),THU,W4,09170000082,LESTER,LO,082 BARANGAY I BALER AURORA,TIN-000000082,15.756900,121.559700
DSP0005,CUST0083,SAMPLE STORE 083,Active/Approved,AURORA,MARIA AURORA,BAZAL,WED,W1,09170000083,MICA,MACAPAGAL,083 BAZAL MARIA AURORA,TIN-000000083,15.803000,121.480100
DSP0005,CUST0084,SAMPLE STORE 084,Active/Approved,AURORA,MARIA AURORA,CABITUCULAN EAST,THU,W2,09170000084,NASH,NERI,084 CABITUCULAN EAST MARIA AURORA,TIN-000000084,15.803900,121.481000
DSP0007,CUST0085,SAMPLE STORE 085,Active/Approved,NUEVA ECIJA,CABANATUAN CITY,MAYAPYAP NORTE,FRI,W1,09170000085,OLIVE,OCAMPO,085 MAYAPYAP NORTE CABANATUAN,TIN-000000085,15.498700,120.982900
DSP0007,CUST0086,SAMPLE STORE 086,Blocked/On hold,NUEVA ECIJA,CABANATUAN CITY,MAYAPYAP SUR,SAT,W4,09170000086,PABLO,PADILLA,086 MAYAPYAP SUR CABANATUAN,TIN-000000086,15.499600,120.983800
DSP0011,CUST0087,SAMPLE STORE 087,Active/Approved,NUEVA ECIJA,CABANATUAN CITY,OBRERO,MON,W1,09170000087,QUEENA,QUIAMBAO,087 OBRERO CABANATUAN,TIN-000000087,15.500500,120.984600
DSP0011,CUST0088,SAMPLE STORE 088,Active/Approved,NUEVA ECIJA,CABANATUAN CITY,PALAGAY,TUE,W2,09170000088,RALPH,RUBIO,088 PALAGAY CABANATUAN,TIN-000000088,15.501300,120.985500
DSP0012,CUST0089,SAMPLE STORE 089,Active/Approved,NUEVA ECIJA,CITY OF GAPAN,MAKABACLAY,WED,W1,09170000089,SHEENA,SERRANO,089 MAKABACLAY GAPAN,TIN-000000089,15.317300,120.958300
DSP0012,CUST0090,SAMPLE STORE 090,Blocked/On hold,NUEVA ECIJA,CITY OF GAPAN,MARELO,THU,W4,09170000090,TRISTAN,TORIO,090 MARELO GAPAN,TIN-000000090,15.318100,120.959100
DSP0014,CUST0091,SAMPLE STORE 091,Active/Approved,NUEVA ECIJA,CITY OF GAPAN,KAPALANGAN,FRI,W1,09170000091,URSULA,ULANDAY,091 KAPALANGAN GAPAN,TIN-000000091,15.318900,120.960000
DSP0014,CUST0092,SAMPLE STORE 092,Active/Approved,NUEVA ECIJA,CITY OF GAPAN,MALIMBA,SAT,W2,09170000092,VINCE,VICENTE,092 MALIMBA GAPAN,TIN-000000092,15.319700,120.960900
DSP0019,CUST0093,SAMPLE STORE 093,Active/Approved,NUEVA ECIJA,SAN JOSE CITY,SANTO NIÑO 3RD,MON,W1,09170000093,WILLA,WIDJAJA,093 SANTO NINO 3RD SAN JOSE CITY,TIN-000000093,15.801800,121.003300
DSP0019,CUST0094,SAMPLE STORE 094,Blocked/On hold,NUEVA ECIJA,SAN JOSE CITY,CAANAWAN,TUE,W4,09170000094,XANDER,XANDRES,094 CAANAWAN SAN JOSE CITY,TIN-000000094,15.802600,121.004100
DSP0021,CUST0095,SAMPLE STORE 095,Active/Approved,NUEVA ECIJA,SAN JOSE CITY,KALIWANAGAN,WED,W1,09170000095,YASMIN,YABUT,095 KALIWANAGAN SAN JOSE CITY,TIN-000000095,15.803400,121.004900
DSP0021,CUST0096,SAMPLE STORE 096,Active/Approved,NUEVA ECIJA,SAN JOSE CITY,MANICLA,THU,W2,09170000096,ZEN,ZUÑIGA,096 MANICLA SAN JOSE CITY,TIN-000000096,15.804200,121.005700
DSP0023,CUST0097,SAMPLE STORE 097,Active/Approved,NUEVA ECIJA,QUEZON,SANGITAN,FRI,W1,09170000097,ALDEN,ARCE,097 SANGITAN QUEZON,TIN-000000097,15.559900,120.820700
DSP0023,CUST0098,SAMPLE STORE 098,Blocked/On hold,NUEVA ECIJA,QUEZON,SANTA ARCADIA,SAT,W4,09170000098,BELLA,BANAAG,098 SANTA ARCADIA QUEZON,TIN-000000098,15.560700,120.821500
DSP0026,CUST0099,SAMPLE STORE 099,Active/Approved,NUEVA ECIJA,PALAYAN CITY (CAPITAL),MALIGAYA,MON,W1,09170000099,CLYDE,CUNANAN,099 MALIGAYA PALAYAN CITY,TIN-000000099,15.544700,121.090100
DSP0026,CUST0100,SAMPLE STORE 100,Active/Approved,NUEVA ECIJA,PALAYAN CITY (CAPITAL),MAPAIT,TUE,W2,09170000100,DIANE,DALISAY,100 MAPAIT PALAYAN CITY,TIN-000000100,15.545500,121.090900
